start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-10 16:16:27.928,2021-09-10 16:16:27.948,0.020,0.016,17,192.168.51.137,35903,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,4,260,4,800,53,119,131,eof
2021-09-10 16:15:32.511,2021-09-10 16:16:28.014,55.503,0.000,2,192.168.60.159,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:28.299,2021-09-10 16:16:28.299,0.000,0.000,17,192.168.50.50,20206,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,600,0,0,53,101,0,eof
2021-09-10 16:16:28.301,2021-09-10 16:16:28.301,0.000,0.000,17,192.168.50.50,18648,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,600,0,0,53,105,0,eof
2021-09-10 16:16:28.336,2021-09-10 16:16:28.337,0.001,0.000,17,192.168.50.19,34274,255.255.255.255,10002,0,0,0,0,00000000,00000000,000,000,13,2431,0,0,427,175,0,eof
2021-09-10 16:16:28.489,2021-09-10 16:16:28.489,0.000,0.000,17,192.168.51.205,43045,198.97.190.53,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,94,0,eof
2021-09-10 16:15:31.515,2021-09-10 16:16:28.518,57.003,0.000,2,192.168.60.159,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:20.011,2021-09-10 16:16:29.027,9.016,0.000,6,192.168.60.159,7815,192.168.50.18,443,S,S,0,0,4fe376ad,00000000,000,000,6,304,0,0,0,0,0,eof
2021-09-10 16:15:33.511,2021-09-10 16:16:29.027,55.516,0.000,2,192.168.60.159,0,224.205.236.222,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:15:32.565,2021-09-10 16:16:29.065,56.500,0.000,2,192.168.60.111,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:15:30.100,2021-09-10 16:16:29.158,59.058,0.009,6,192.168.51.22,54703,104.16.249.249,443,AP,AP,AP,AP,22e182f3,60cb5392,000,000,8,476,4,316,0,0,0,eof
2021-09-10 16:15:31.235,2021-09-10 16:16:29.239,58.004,0.000,2,192.168.60.191,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:29.286,2021-09-10 16:16:29.286,0.000,0.000,17,192.168.51.205,42857,199.7.91.13,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,95,0,eof
2021-09-10 16:16:29.656,2021-09-10 16:16:29.656,0.000,0.000,17,192.168.50.50,10469,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,750,0,0,53,126,0,eof
2021-09-10 16:16:29.656,2021-09-10 16:16:29.656,0.000,0.000,17,192.168.50.50,53279,8.8.8.8,53,0,0,0,0,00000000,00000000,000,000,10,750,0,0,53,129,0,eof
2021-09-10 16:15:36.219,2021-09-10 16:16:29.729,53.510,0.000,2,192.168.60.183,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:30.087,2021-09-10 16:16:30.087,0.000,0.000,17,192.168.51.205,59571,192.5.5.241,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,95,0,eof
2021-09-10 16:16:22.152,2021-09-10 16:16:30.181,8.029,0.000,17,192.168.60.183,62852,192.168.50.100,53,0,0,0,0,00000000,00000000,000,000,10,800,0,0,53,134,0,eof
2021-09-10 16:16:15.458,2021-09-10 16:16:30.458,15.000,0.000,6,192.168.60.107,58199,40.126.26.134,443,S,S,0,0,63e243f4,00000000,000,000,10,520,0,0,0,0,0,eof
2021-09-10 16:16:30.732,2021-09-10 16:16:30.740,0.008,0.008,17,192.168.51.205,49468,1.1.1.1,53,0,0,0,0,00000000,00000000,000,000,2,174,2,214,53,131,126,eof
