start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-01 16:09:02.348,2021-09-01 16:09:02.348,0.000,0.000,6,192.168.60.159,59862,192.168.60.149,8002,S,S,AR,0,909e4ce4,00000000,000,000,2,96,1,40,0,0,0,
2021-09-01 16:09:02.348,2021-09-01 16:09:02.348,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59862,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:02.322,2021-09-01 16:09:02.501,0.179,0.000,6,192.168.50.127,39772,192.168.50.50,443,S,APSF,AS,APSF,0498b70c,4f83fd4d,000,000,34,3146,55,61038,443,230,247,
2021-09-01 16:09:06.967,2021-09-01 16:09:07.064,0.097,0.005,6,192.168.50.125,38744,192.168.50.249,80,S,APSF,AS,APSF,8911f0bc,685d76c5,000,000,21,1604,26,28402,80,175,177,
2021-09-01 16:09:09.368,2021-09-01 16:09:09.416,0.048,0.004,6,192.168.50.132,42648,192.168.50.225,80,S,APSF,AS,APSF,d29385ce,fb6a430c,000,000,19,1262,18,7336,80,173,174,
2021-09-01 16:09:09.416,2021-09-01 16:09:09.417,0.001,0.001,6,192.168.50.132,42648,192.168.50.225,80,A,A,R,0,d29386b7,fb6a4ff6,000,000,3,120,1,40,0,0,0,
2021-09-01 16:09:09.417,2021-09-01 16:09:09.417,0.000,0.000,6,192.168.50.225,80,192.168.50.132,42648,R,0,0,0,fb6a4ff6,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:10.692,2021-09-01 16:09:10.746,0.054,0.010,6,192.168.51.22,60785,172.217.2.106,443,S,APSF,AS,APSF,f1ce006a,afef7ad7,000,000,25,3942,28,13122,443,232,252,
2021-09-01 16:08:59.507,2021-09-01 16:09:11.529,12.022,0.001,6,fe80::142b:2cac:325e:190c,64380,fe80::4468:6b74:e927:a4c2,445,S,APRS,AS,APS,0e8f6ecd,7e263fb3,000,000,11,1218,6,1392,139,133,156,
2021-09-01 16:09:11.529,2021-09-01 16:09:11.529,0.000,0.000,6,fe80::142b:2cac:325e:190c,64380,fe80::4468:6b74:e927:a4c2,445,AR,0,0,0,0e8f6fd9,00000000,000,000,1,60,0,0,0,0,0,
2021-09-01 16:09:06.095,2021-09-01 16:09:16.101,10.006,0.000,6,192.168.60.183,64382,192.168.60.181,139,S,APSF,AS,APSF,ef48e650,59cd403b,000,000,23,2974,20,3420,139,113,129,
2021-09-01 16:09:16.357,2021-09-01 16:09:16.357,0.000,0.000,6,192.168.60.159,59863,192.168.60.149,8002,S,S,AR,0,c0888f6a,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:16.357,2021-09-01 16:09:16.357,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59863,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:16.790,2021-09-01 16:09:16.819,0.029,0.000,6,192.168.50.133,46254,192.168.50.237,8080,S,APSF,AS,APSF,6d1f55ff,be24d7d9,000,000,12,1028,9,1676,80,167,181,
2021-09-01 16:09:16.823,2021-09-01 16:09:16.847,0.024,0.000,6,192.168.50.133,46256,192.168.50.237,8080,S,APSF,AS,APSF,ac5da4c7,8ded0f97,000,000,16,1444,15,10558,80,180,137,
2021-09-01 16:09:16.856,2021-09-01 16:09:16.856,0.000,0.000,6,192.168.60.159,59863,192.168.60.149,8002,S,S,AR,0,c0888f6a,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:16.856,2021-09-01 16:09:16.856,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59863,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:17.360,2021-09-01 16:09:17.360,0.000,0.000,6,192.168.60.159,59863,192.168.60.149,8002,S,S,AR,0,c0888f6a,00000000,000,000,2,96,1,40,0,0,0,
2021-09-01 16:09:17.360,2021-09-01 16:09:17.360,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59863,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:22.464,2021-09-01 16:09:22.485,0.021,0.001,6,192.168.51.117,50347,192.168.51.22,7680,S,APSF,AS,ASF,a607b77f,411a152e,000,000,10,574,5,224,0,174,0,
2021-09-01 16:09:22.458,2021-09-01 16:09:22.489,0.031,0.001,6,192.168.51.117,50346,192.168.51.22,7680,S,APSF,AS,APSF,34133005,8a5e1fc1,000,000,12,680,9,560,0,171,169,
2021-09-01 16:09:29.707,2021-09-01 16:09:29.795,0.088,0.010,6,192.168.51.22,60786,13.68.247.210,443,S,APSF,AS,APSF,555fe5bf,b2292a46,000,000,20,5158,23,20082,443,249,217,
2021-09-01 16:09:29.796,2021-09-01 16:09:30.029,0.233,0.010,6,192.168.51.22,60787,13.68.247.210,443,S,APSF,AS,APSF,01f53ee8,c22e4781,000,000,20,5470,29,28500,443,250,217,
2021-09-01 16:09:30.876,2021-09-01 16:09:31.202,0.326,0.000,6,192.168.50.133,55230,192.168.50.1,443,S,APF,AS,APF,68861457,8f570b86,000,000,8,1129,8,2516,443,231,249,
2021-09-01 16:09:31.365,2021-09-01 16:09:31.365,0.000,0.000,6,192.168.60.159,59865,192.168.60.149,8002,S,S,AR,0,4a9cc437,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:31.365,2021-09-01 16:09:31.365,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59865,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:31.871,2021-09-01 16:09:31.871,0.000,0.000,6,192.168.60.159,59865,192.168.60.149,8002,S,S,AR,0,4a9cc437,00000000,000,000,2,104,1,40,0,0,0,
2021-09-01 16:09:31.871,2021-09-01 16:09:31.871,0.000,0.000,6,192.168.60.149,8002,192.168.60.159,59865,AR,0,0,0,00000000,00000000,000,000,1,40,0,0,0,0,0,
2021-09-01 16:09:32.371,2021-09-01 16:09:32.371,0.000,0.000,6,192.168.60.159,59865,192.168.60.149,8002,S,S,AR,0,4a9cc437,00000000,000,000,2,96,1,40,0,0,0,
