flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
3229184146,1631290498320,192.168.51.205,199.7.83.42,17,51159,53,0,0,UDP
3577674430,1631290498334,192.168.50.19,255.255.255.255,17,60008,10002,0,0,UDP
3300751541,1631290499117,192.168.51.205,199.7.91.13,17,49939,53,0,0,UDP
3457490598,1631290492501,192.168.60.183,192.168.50.100,17,52756,53,0,0,UDP
2807407526,1631290499916,192.168.51.205,192.58.128.30,17,42950,53,0,0,UDP
2883044786,1631290500719,192.168.51.205,192.203.230.10,17,43957,53,0,0,UDP
3184207433,1631290501519,192.168.51.205,192.5.5.241,17,48487,53,0,0,UDP
4218104399,1631290502644,192.168.50.50,8.8.8.8,17,13258,53,0,0,UDP
372451919,1631290502644,192.168.50.50,8.8.8.8,17,56978,53,0,0,UDP
6367823,1631290502697,192.168.50.50,8.8.8.8,17,51392,53,0,0,UDP
115288655,1631290502697,192.168.50.50,8.8.8.8,17,52862,53,0,0,UDP
3966111959,1631290502906,192.168.60.111,192.168.60.205,17,60519,53,0,0,UDP
1108814359,1631290503290,192.168.50.106,8.8.8.8,17,35510,53,0,0,UDP
2111318551,1631290503294,192.168.50.106,8.8.8.8,17,46457,53,0,0,UDP
3336573139,1631290503845,192.168.60.107,192.168.60.205,17,50913,53,0,0,UDP
10233058,1631290495941,192.168.60.159,8.8.8.8,17,51261,53,0,0,UDP
1706109519,1631290504259,192.168.50.50,8.8.8.8,17,44304,53,0,0,UDP
625879631,1631290504259,192.168.50.50,8.8.8.8,17,60911,53,0,0,UDP
2052663887,1631290505590,192.168.50.50,8.8.8.8,17,45816,53,0,0,UDP
825633359,1631290505590,192.168.50.50,8.8.8.8,17,63895,53,0,0,UDP
3453697400,1631290505722,192.168.50.105,172.16.31.100,17,41314,53,0,0,UDP
2704424312,1631290505723,192.168.50.105,172.16.31.100,17,52619,53,0,0,UDP
2028743247,1631290505885,192.168.50.50,8.8.8.8,17,45133,53,0,0,UDP
4169214543,1631290505885,192.168.50.50,8.8.8.8,17,12320,53,0,0,UDP
2719558223,1631290506511,192.168.50.50,8.8.8.8,17,27320,53,0,0,UDP
3431344719,1631290506511,192.168.50.50,8.8.8.8,17,1063,53,0,0,UDP
1176577199,1631290497093,192.168.60.210,8.8.8.8,17,36480,53,0,0,UDP
3966308711,1631290507412,192.168.60.111,192.168.60.205,17,60520,389,0,0,UDP
3966243175,1631290507513,192.168.60.111,192.168.60.205,17,60521,389,0,0,UDP
3991150246,1631290499883,192.168.60.183,192.168.50.100,17,60901,53,0,0,UDP
1212623383,1631290508297,192.168.50.106,8.8.8.8,17,32998,53,0,0,UDP
480061975,1631290508299,192.168.50.106,8.8.8.8,17,54332,53,0,0,UDP
3510571223,1631290508573,192.168.60.111,192.168.60.205,17,53566,53,0,0,UDP
547885878,1631290508618,192.168.51.138,224.0.0.252,2,0,0,0,0,IGMP
755575375,1631290510380,192.168.50.50,8.8.8.8,17,58792,53,0,0,UDP
399583823,1631290510380,192.168.50.50,8.8.8.8,17,57200,53,0,0,UDP
547885873,1631290510624,192.168.51.138,224.0.0.251,2,0,0,0,0,IGMP
3669761702,1631290503541,192.168.60.183,192.168.50.100,17,55997,53,0,0,UDP
2579478441,1631290511736,192.168.51.205,192.36.148.17,17,39218,53,0,0,UDP
